,positive
132,['rt @datdopesex: easiest way to keep ya man happy https://t.co/dpsnhdsl7u']
133,['@allisonthevixen this one is happy for you. hope future appointments go well https://t.co/sbpgpptett']
134,['rt @love_simmons: i’m so happy i don’t suppress anymore! allowing yourself to feel is one of my greatest assets']
135,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
136,['rt @mitchoo_oo: happy thursday 🤠 https://t.co/dbxqk7nw8t']
137,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
138,"[""even a small i'm happy you are here can make someone's day, so never be afraid of telling your loved ones""]"
139,['rt @silkangelo: happy birthday to me🌹 https://t.co/jse05tqxph']
140,"['“but i’m here at happy hour, happy ours is done.”']"
141,"['rt @sun_1297: #bkdk 💥🥦 roommates au | angst w/ happy ending ""of all the people my heart could have chosen, it chose you. you, who didn\'t e…']"
142,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
143,['rt @jokerzaak: happy independence day 🇲🇦🇲🇦🇲🇦 happy birthday mima 💞♥️💞♥️💞 dima wydad 🔴⚪🔴⚪🔴⚪🔴⚪ https://t.co/oqzmqjscmb']
144,['@pimxrilinn happy birthday naa 😼🤟🏻💗']
145,"['rt @letterboxd: 🔥 happy birthday julia ducournau! the titane filmmaker spoke with @itismitchell about her unique approach to love, destroyi…']"
146,['rt @diamond_canyon: happy thanksgiving! @adminleadserve @drfinchdvusd @ptseunis @dvusd https://t.co/wej0af2j48']
147,['rt @yngpharoh: ima support whatever dumb shit my friends wanna do if you happy im happy']
148,['rt @yara_wayne: happy bday to the man that gave us the best graphic novel of all time !! alan moore! https://t.co/tf09epdcmd']
149,"['@edith__nneka if na you, you no go happy ?']"
150,['rt @curiousdad75: happy saturday. https://t.co/7zafnld5vn']
151,"[""rt @zara_ishh: honestly, i'm happy that he's not coming to bb bcoz then there would be chances of their friendship getting mixed with the g…""]"
152,['@dreamswapnews this is very nice project &amp; i am very hopefully this project. i am very happy for participate this p… https://t.co/fyqchahfbk']
153,"['rt @laibashahbaz12: today i offer you this clip of rm saying ""saranghe"" to army and the way rest of the members were happy i just can\'t 😭😭😭…']"
154,['@ohjay_juicedout happy birthday 🎉']
155,['rt @gaby_nylons: good morning and happy monday!!! while i wait for my delicious morning coffee to be ready i will take the opportunity to…']
156,"[""@nadinebh_ i could probably find a whole host of jewish people that are not happy with the comments. but i can't be… https://t.co/kflubm1ls6""]"
157,['@caradaze happy birthday🥳🤍']
158,['@yungpharoh_ happy birthday bro']
159,['rt @lotilatoti: omg i just got a vio ticket for ateez im literally crying im so happy omg in gonna see them']
160,['ah! happy birthday my g.']
161,"['i’m planning my high school reunion and people are actually opting in to remind, making my job a gajillion times easier. i could happy cry!']"
162,['rt @missvsilverhand: happy birthday mr. silverhand. got ya a smoke for your bday! hope you enjoy it! ❤️❤️🤭 love mrs silverhand! @cyberpunk…']
163,"['rt @ruturajabhijeet: happy that #marathi #saregamapa rightfully invited an erudite music director of our times @ksinamdar dada this week, a…']"
164,['rt @itachi_senpai1: #मर्द_असुरक्षित_है happy #internationalmensday https://t.co/lpiamycr6b']
165,['rt @heejinsbabie: happy birthday ganda https://t.co/ihside9pol']
166,['rt @nakamotogames: nakamoto games has been featured on @coingapemedia today. besides that we’re happy to #announce that our first #digital…']
167,"['yessir @corban_mora. very, very proud of u and happy for u and ur family.']"
